"","","","","","Issue Date","","","","","","","","","","","Violation","","","","","","","","","","","Location","","","","","",""
"","","JP08590","","","02/16/2018  09:02:34 AM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hoch B","","","","","",""
"","","JP08591","","","02/16/2018  09:02:40 AM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hoch B","","","","","",""
"","","JP08592","","","02/16/2018  09:02:11 AM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hoch B","","","","","",""
"","","JP08593","","","02/16/2018  10:02:24 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Hoch A","","","","","",""
"","","JP08594","","","02/16/2018  10:02:26 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Hoch A","","","","","",""
"","","JP08595","","","02/16/2018  10:02:45 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Hoch A","","","","","",""
"","","JP08596","","","02/19/2018  08:02:12 AM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Moody Terrace Srv Road","","","","","",""
"","","JP08597","","","02/19/2018  08:02:16 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Ketter","","","","","",""
"","","JP08598","","","02/19/2018  08:02:03 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Ketter","","","","","",""
"","","JP08599","","","02/19/2018  08:02:00 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08600","","","02/19/2018  08:02:12 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08601","","","02/19/2018  08:02:42 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08602","","","02/19/2018  09:02:55 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08603","","","02/19/2018  09:02:02 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08604","","","02/19/2018  09:02:46 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08605","","","02/19/2018  09:02:05 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08606","","","02/19/2018  09:02:00 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08607","","","02/19/2018  09:02:49 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis A","","","","","",""
"","","JP08608","","","02/19/2018  09:02:32 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis A","","","","","",""
"","","JP08609","","","02/19/2018  09:02:46 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis A","","","","","",""
"","","JP08610","","","02/19/2018  09:02:25 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis A","","","","","",""
"","","JP08611","","","02/19/2018  09:02:40 AM","","","","","","","","","","","PARKED OUTSIDE DESIGNATED SPACE*","","","","","","","","","","","Jarvis A","","","","","",""
"","","JP08612","","","02/19/2018  09:02:13 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08613","","","02/19/2018  10:02:48 AM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08614","","","02/19/2018  10:02:01 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08615","","","02/19/2018  10:02:18 AM","","","","","","","","","","","EXPIRED PERMIT*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08616","","","02/19/2018  10:02:44 AM","","","","","","","","","","","RESTRICTED ZONE*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08617","","","02/19/2018  10:02:57 AM","","","","","","","","","","","RESTRICTED ZONE*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08618","","","02/19/2018  10:02:26 AM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Fargo","","","","","",""
"","","JP08619","","","02/19/2018  10:02:08 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Moody Terrace Srv Road","","","","","",""
"","","JP08620","","","02/19/2018  11:02:17 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08621","","","02/19/2018  11:02:08 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08622","","","02/19/2018  11:02:16 AM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08623","","","02/19/2018  11:02:32 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08624","","","02/19/2018  11:02:18 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08625","","","02/19/2018  11:02:02 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08626","","","02/19/2018  11:02:28 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08627","","","02/19/2018  11:02:52 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08628","","","02/19/2018  11:02:12 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08629","","","02/19/2018  11:02:21 AM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08630","","","02/19/2018  11:02:23 AM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08631","","","02/19/2018  11:02:44 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08632","","","02/19/2018  11:02:57 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08633","","","02/19/2018  12:02:02 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08634","","","02/19/2018  12:02:20 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08635","","","02/19/2018  12:02:09 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08636","","","02/19/2018  12:02:57 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08637","","","02/19/2018  12:02:22 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08638","","","02/19/2018  12:02:43 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08639","","","02/19/2018  12:02:25 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08640","","","02/19/2018  12:02:37 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08641","","","02/19/2018  12:02:26 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08642","","","02/19/2018  12:02:16 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08643","","","02/19/2018  12:02:25 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08644","","","02/19/2018  12:02:29 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08645","","","02/19/2018  12:02:51 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08646","","","02/19/2018  12:02:44 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08647","","","02/19/2018  12:02:28 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08648","","","02/19/2018  12:02:38 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08649","","","02/19/2018  12:02:17 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08650","","","02/19/2018  12:02:42 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08651","","","02/19/2018  13:02:58 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08652","","","02/19/2018  13:02:51 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08653","","","02/19/2018  13:02:19 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08654","","","02/19/2018  13:02:08 PM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08655","","","02/19/2018  14:02:36 PM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08656","","","02/20/2018  08:02:03 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Gane Terrace","","","","","",""
"","","JP08657","","","02/20/2018  08:02:08 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08658","","","02/20/2018  08:02:07 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08659","","","02/20/2018  08:02:37 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08660","","","02/20/2018  08:02:26 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Ketter","","","","","",""
"","","JP08661","","","02/20/2018  09:02:19 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08662","","","02/20/2018  09:02:39 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08663","","","02/20/2018  09:02:21 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Moody Terrace Srv Road","","","","","",""
"","","JP08664","","","02/20/2018  10:02:53 AM","","","","","","","","","","","NO COMMUTER PERMIT*","","","","","","","","","","","Jarvis A","","","","","",""
"","","JP08665","","","02/20/2018  10:02:37 AM","","","","","","","","","","","NO COMMUTER PERMIT*","","","","","","","","","","","Jarvis A","","","","","",""
"","","JP08666","","","02/20/2018  10:02:59 AM","","","","","","","","","","","NO COMMUTER PERMIT*","","","","","","","","","","","Jarvis A","","","","","",""
"","","JP08667","","","02/20/2018  10:02:34 AM","","","","","","","","","","","EXPIRED PERMIT*","","","","","","","","","","","Jarvis A","","","","","",""
"","","JP08668","","","02/20/2018  10:02:22 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08669","","","02/20/2018  10:02:21 AM","","","","","","","","","","","PARKED OUTSIDE DESIGNATED SPACE*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08670","","","02/20/2018  10:02:46 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08671","","","02/20/2018  10:02:44 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08672","","","02/20/2018  10:02:17 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Jarvis B","","","","","",""
"","","JP08673","","","02/20/2018  11:02:44 AM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08674","","","02/20/2018  11:02:46 AM","","","","","","","","","","","PARKED WITHOUT VALID STATE REG","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08675","","","02/20/2018  11:02:23 AM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08676","","","02/20/2018  11:02:57 AM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08677","","","02/20/2018  11:02:03 AM","","","","","","","","","","","PARKED OUTSIDE DESIGNATED SPACE*","","","","","","","","","","","Governors E","","","","","",""
"","","JP08678","","","02/20/2018  11:02:18 AM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08679","","","02/20/2018  12:02:53 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Spaulding","","","","","",""
"","","JP08680","","","02/20/2018  12:02:16 PM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Gane Terrace","","","","","",""
"","","JP08681","","","02/20/2018  13:02:05 PM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08682","","","02/20/2018  13:02:36 PM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08683","","","02/20/2018  13:02:40 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08684","","","02/20/2018  13:02:59 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08685","","","02/20/2018  13:02:27 PM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08686","","","02/20/2018  13:02:47 PM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08687","","","02/20/2018  13:02:59 PM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08688","","","02/22/2018  08:02:26 AM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Fargo","","","","","",""
"","","JP08689","","","02/22/2018  08:02:25 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08690","","","02/22/2018  08:02:07 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08691","","","02/22/2018  08:02:25 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08692","","","02/22/2018  08:02:50 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08693","","","02/22/2018  09:02:55 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08694","","","02/22/2018  09:02:19 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08695","","","02/22/2018  09:02:44 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08696","","","02/22/2018  09:02:41 AM","","","","","","","","","","","EXPIRED PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08697","","","02/22/2018  09:02:19 AM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Governors B","","","","","",""
"","","JP08698","","","02/22/2018  09:02:24 AM","","","","","","","","","","","EXPIRED PERMIT*","","","","","","","","","","","Governors B","","","","","",""
"","","JP08699","","","02/22/2018  09:02:24 AM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Governors B","","","","","",""
"","","JP08700","","","02/22/2018  09:02:21 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Governors B","","","","","",""
"","","JP08701","","","02/22/2018  09:02:17 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Governors B","","","","","",""
"","","JP08702","","","02/22/2018  09:02:21 AM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Governors B","","","","","",""
"","","JP08703","","","02/22/2018  09:02:52 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Governors B","","","","","",""
"","","JP08704","","","02/22/2018  09:02:58 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08705","","","02/22/2018  10:02:00 AM","","","","","","","","","","","RESTRICTED ZONE - RED PERMIT*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","E65976","","","02/22/2018  10:02:00 AM","","","","","","","","","","","PARKED OUTSIDE DESIGNATED SPACE*","","","","","","","","","","","Hoch B","","","","","",""
"","","JP08706","","","02/22/2018  11:02:52 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08707","","","02/22/2018  11:02:55 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08708","","","02/22/2018  11:02:39 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08709","","","02/22/2018  11:02:54 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08710","","","02/22/2018  11:02:10 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08711","","","02/22/2018  11:02:30 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08712","","","02/22/2018  11:02:45 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08713","","","02/22/2018  11:02:09 AM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08714","","","02/22/2018  11:02:03 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08715","","","02/22/2018  11:02:23 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08716","","","02/22/2018  11:02:44 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08717","","","02/22/2018  11:02:06 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08718","","","02/22/2018  11:02:03 AM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08719","","","02/22/2018  11:02:06 AM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08720","","","02/22/2018  11:02:30 AM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08721","","","02/22/2018  12:02:19 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08722","","","02/22/2018  12:02:12 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08723","","","02/22/2018  12:02:03 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08724","","","02/22/2018  12:02:32 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08725","","","02/22/2018  12:02:50 PM","","","","","","","","","","","NO VALID TIME SLIP*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08726","","","02/22/2018  12:02:47 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08727","","","02/22/2018  12:02:52 PM","","","","","","","","","","","BOOKSTORE TIME SLIP EXPIRED*","","","","","","","","","","","Bookstore","","","","","",""
"","","JP08728","","","02/22/2018  12:02:27 PM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08729","","","02/22/2018  12:02:46 PM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08730","","","02/22/2018  12:02:28 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08731","","","02/22/2018  12:02:13 PM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Ketter","","","","","",""
"","","JP08732","","","02/22/2018  13:02:27 PM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08733","","","02/23/2018  12:02:33 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08734","","","02/23/2018  12:02:04 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08735","","","02/23/2018  12:02:25 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Governors A","","","","","",""
"","","JP08736","","","02/23/2018  12:02:37 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08737","","","02/23/2018  12:02:00 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08738","","","02/23/2018  12:02:38 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08739","","","02/23/2018  12:02:14 PM","","","","","","","","","","","EXPIRED PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08740","","","02/23/2018  12:02:00 PM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08741","","","02/23/2018  12:02:18 PM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08742","","","02/23/2018  12:02:19 PM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08743","","","02/23/2018  12:02:50 PM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08744","","","02/23/2018  12:02:19 PM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Furnas","","","","","",""
"","","JP08745","","","02/23/2018  14:02:42 PM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08746","","","02/23/2018  14:02:53 PM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08747","","","02/23/2018  14:02:58 PM","","","","","","","","","","","EXPIRED METER*","","","","","","","","","","","Hamilton Entrance","","","","","",""
"","","JP08748","","","02/26/2018  08:02:20 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Diefendorf Faculty","","","","","",""
"","","JP08749","","","02/26/2018  08:02:19 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Diefendorf Faculty","","","","","",""
"","","JP08750","","","02/26/2018  08:02:39 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Goodyear Faculty","","","","","",""
"","","JP08751","","","02/26/2018  09:02:48 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Goodyear Faculty","","","","","",""
"","","JP08752","","","02/26/2018  09:02:32 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Abbott A","","","","","",""
"","","JP08753","","","02/26/2018  09:02:43 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Abbott A","","","","","",""
"","","JP08754","","","02/26/2018  09:02:02 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Clark Lot","","","","","",""
"","","JP08755","","","02/26/2018  09:02:42 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Clark Lot","","","","","",""
"","","JP08756","","","02/26/2018  09:02:39 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Rotary Road","","","","","",""
"","","JP08757","","","02/26/2018  09:02:02 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","McDonald Handicap","","","","","",""
"","","JP08758","","","02/26/2018  10:02:01 AM","","","","","","","","","","","PARKED OUTSIDE DESIGNATED SPACE*","","","","","","","","","","","Parker Lot","","","","","",""
"","","JP08759","","","02/26/2018  10:02:46 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Townsend Lot","","","","","",""
"","","JP08760","","","02/26/2018  10:02:14 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Townsend Lot","","","","","",""
"","","JP08761","","","02/26/2018  10:02:49 AM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Townsend Lot","","","","","",""
"","","JP08762","","","02/26/2018  10:02:41 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Townsend Lot","","","","","",""
"","","JP08763","","","02/26/2018  10:02:12 AM","","","","","","","","","","","EXPIRED PERMIT*","","","","","","","","","","","Townsend Lot","","","","","",""
"","","JP08764","","","02/26/2018  10:02:52 AM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Townsend Lot","","","","","",""
"","","JP08765","","","02/26/2018  10:02:47 AM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Townsend Lot","","","","","",""
"","","JP08766","","","02/26/2018  11:02:13 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Clark Lot","","","","","",""
"","","JP08767","","","02/26/2018  11:02:18 AM","","","","","","","","","","","NO FACULTY/STAFF PERMIT*","","","","","","","","","","","Clark Lot","","","","","",""
"","","JP08768","","","02/26/2018  11:02:15 AM","","","","","","","","","","","EXPIRED PERMIT*","","","","","","","","","","","Clark Lot","","","","","",""
"","","JP08769","","","02/26/2018  11:02:42 AM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Clark Lot","","","","","",""
"","","JP08770","","","02/26/2018  11:02:00 AM","","","","","","","","","","","NO CLINIC PERMIT*","","","","","","","","","","","McDonald Handicap","","","","","",""
"","","JP08771","","","02/26/2018  11:02:57 AM","","","","","","","","","","","RESTRICTED ZONE*","","","","","","","","","","","Squire Lot","","","","","",""
